"filename", "language", "JSON with Comments", "Properties", "JavaScript", "Markdown", "Log", "JavaScript JSX", "TypeScript", "CSS", "JSON", "Prisma", "SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\conversationType.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 11
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\friendType.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\globalType.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\groupType.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\notifyType.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\onlineType.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\postType.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\storyType.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Workspace\own\horizon\frontend\src\Reduxs\Types\themeType.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Workspace\own\horizon\frontend\src\assets\cardData.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 39
"d:\Workspace\own\horizon\frontend\src\i18n.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Workspace\own\horizon\frontend\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 27, 28, 241
"d:\Workspace\own\horizon\frontend\src\index.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 22
"d:\Workspace\own\horizon\frontend\src\network\api.js", "JavaScript", 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 83
"d:\Workspace\own\horizon\frontend\src\network\services\authService.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Workspace\own\horizon\frontend\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Workspace\own\horizon\frontend\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
"d:\Workspace\own\horizon\frontend\src\socket.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 40
"d:\Workspace\own\horizon\frontend\src\utils\conversation.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 45
"d:\Workspace\own\horizon\frontend\src\utils\imageUpload.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 30
"d:\Workspace\own\horizon\frontend\tailwind.config.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 30
"Total", "-", 40, 16, 1758, 38, 5396, 8647, 4838, 186, 299, 345, 318, 35, 36, 2035, 2457, 26444
